participant_id,week,date,prompt_text,journal_response_text,behavioral_domain_category,signal_before,signal_after,signal_change,behavioral_improvement,n_features_total,n_features_improved,baseline_imputed,prompt_type
t0006@sreflect,2.0,2024-02-11,"While you've been exploring more locations, your in-person interactions have lessened dramatically. Could this be reshaping your engagement with others? How might you reconnect this coming week?","Over the weekend I tend to spend more time with myself. I remain mostly at home and only interact with close friends and room mates only. in the coming week, I plan on spending more time with my classmates and exploring more friendships.",social_interaction,-0.3709,-0.2333,0.1377,yes,16,5,no,REDIRECTIVE
t0006@sreflect,2.0,2024-02-12,"Your phone calls are up, yet in-person chit-chat took a nosedive. Found any new ways to merge screen time with real-time hangs?","I hung out with a lot more people  today than last week. But I am also virtually active and keeping up with my friends and family far and wide. so I feel, my screen time and real-time hang is pretty well balanced.",digital_habits,0.1288,0.3144,0.1856,no,5,1,no,REFLECTIVE
t0006@sreflect,2.0,2024-02-13,Your walks are getting longer! How is this new pace setting the rhythm for your days?,"Meeting new people ultimately means walking over to talk to them, so it has been pretty fun. I also get steps in so it's pretty healthy as well.",physical_fitness,-0.1383,-0.0,0.1383,yes,5,1,no,REFLECTIVE
t0006@sreflect,2.0,2024-02-14,Noticed you're using your phone more lately. How is this helping or hindering your connection with friends?,using my phone helps me keep connected to my friends in different states. it also helps me to chat with people when I'm stuck somewhere and can't meet them in person.,digital_habits,0.4094,0.2234,-0.186,yes,5,2,no,REFLECTIVE
t0006@sreflect,2.0,2024-02-15,"Your calls are up, but in-person chats have dipped. Has the balance shifted how you feel about socializing?","I feel my in-person chats have increased. I called only one person today, but met with 9-10 people today and talked a good amount with them. I've started to spend less time on social media and am actively socialising with people. it has helped me become less stressed and more happy.",social_interaction,-0.2333,-0.0792,0.154,yes,16,5,no,REFLECTIVE
t0006@sreflect,3.0,2024-02-16,"With in-person chats less frequent, how are you adapting to foster meaningful connections?",my in-person chats have only increased. so I'm having so many meaningful conversations with people.,social_interaction,0.0061,-0.1473,-0.1534,no,16,3,no,REFLECTIVE
t0006@sreflect,3.0,2024-02-18,Your increased phone calls suggest more chats. Could you share how one of these conversations positively impacted your week?,"I got to connect with a friend who lives very far from me, after a long time. it put me in a better mood. I was able to appreciate how some people just bring the best in you and make you happy.",digital_habits,0.2234,-0.0424,-0.2658,yes,5,4,no,REFLECTIVE
t0006@sreflect,3.0,2024-02-19,You’ve been texting more but having fewer calls. What's the coolest thing you've texted about recently?,Today I texted a friend the picture of a dog that I saw when I went for a walk. it led to such an interesting conversation with my friend.,digital_habits,0.2436,-0.0299,-0.2735,yes,5,4,no,REFLECTIVE
t0006@sreflect,3.0,2024-02-20,You're opting for calls over texts lately. How has this shift affected your social interactions?,"It hasn't affected my social interactions in any way. I have a good balance between calls and texts and in-person conversations. so if I text more in one day, I call or socialise more the next.",digital_habits,0.2854,0.068,-0.2174,yes,5,3,no,REFLECTIVE
t0006@sreflect,3.0,2024-02-21,"With screen time down, what non-digital activity brought you joy today?",Watching TV and reading books helped me enjoy my downtime.,digital_habits,0.3431,0.4542,0.1111,no,5,1,no,REFLECTIVE
t0006@sreflect,3.0,2024-02-22,Your texting has ramped up recently; what positive shifts have you noticed in your connections from this change?,I have made new friends and have a lot of lovely conversations with them regularly. It makes me happy to text people and connect with them.,digital_habits,-0.0424,0.3783,0.4207,no,5,0,no,REFLECTIVE
t0006@sreflect,4.0,2024-02-23,Your walks are getting longer. Reflect on a place you found particularly peaceful or invigorating during your strolls.,"today I went to the BEMA lights event. I found it very mesmerising and calming. I went with my closest friends, so it was an opportunity to spend time with them.",physical_fitness,-0.2194,-0.2689,-0.0495,no,5,0,no,REFLECTIVE
t0006@sreflect,4.0,2024-02-25,"Your social interactions over calls have shifted. This week, who did you enjoy a meaningful conversation with, and why was it special?","I enjoyed a meaningful conversation with my dad this week. I talked about my life in the US. It was very special because I got to connect with my dad after coming here, after a long time. I let happy and content!",social_interaction,-0.3535,-0.4336,-0.0801,no,16,1,no,REFLECTIVE
t0006@sreflect,4.0,2024-02-26,"Your social interactions over calls have shifted. This week, who did you enjoy a meaningful conversation with, and why was it special?",I had a meaningful conversation with a new person today! It helped me understand them better and make our bond stronger! it was special because they could confide in me even though we only met recently. some bonds are formed randomly and make way to our hearts!,social_interaction,-0.2116,-0.3902,-0.1786,no,16,1,no,REFLECTIVE
t0006@sreflect,4.0,2024-02-27,"With your screen time on the rise, reflect on one recent online interaction that made your day better.",I shared a video of a friend singing with many people. The video made me think about my home and friends and I was happy to share it with many people!,sleep,0.0169,1.3703,1.3534,yes,1,1,no,REFLECTIVE
t0006@sreflect,4.0,2024-02-28,Your patterns show a trend towards more face-to-face interactions. Can you share how this shift has impacted your social wellness recently?,Face to face interactions have helped me understand people better and read body language. it also opens more possibilities to meet new people and fun conversations!,social_interaction,-0.2389,-0.4088,-0.1699,no,16,1,no,REFLECTIVE
t0006@sreflect,5.0,2024-03-01,Seems like in-person chats are up! How does this shift reflect on your social interactions?,I've realised that in-person talks help me connect with the people more and convey my emotions properly. it helps me stay rooted and happy.,social_interaction,-0.3902,-0.3853,0.0049,yes,16,3,no,REFLECTIVE
t0006@sreflect,5.0,2024-03-03,Your outgoing calls have surged while time at home lessened. How has this influenced your social life recently?,I feel I've started balancing out my social life pretty well. I call people and text people and also spend time with people in real life.,digital_habits,-0.2296,-0.2322,-0.0027,yes,5,2,no,REFLECTIVE
t0006@sreflect,5.0,2024-03-04,"With a busy academic term, have you thought of a new routine to maintain your sleep schedule?","I plan to sleep at 11pm every night and wake up at 7am, so I get 8 hrs of sleep every night. I have plenty of time when at college to manage my work and studies. so I believe I have planned it out well",sleep,0.5683,1.3953,0.8271,yes,1,1,no,REDIRECTIVE
t0006@sreflect,5.0,2024-03-05,"Noticing more texts and fewer calls, what's one message you received that stood out and why?",A text I received today that stood out was a text from my best friend. His text made me smile during a stressful period of the day! Made me enjoy the little things in life.,digital_habits,0.1107,-0.0934,-0.2041,yes,5,4,no,REFLECTIVE
t0006@sreflect,5.0,2024-03-06,Noticed a dip in in-person chats recently. How might you re-engage with your pals face-to-face this week?,I plan to hangout with my friends during the weekend to connect more because I have been busy this week and need a break!,social_interaction,-0.3238,-0.3418,-0.018,no,16,5,no,REDIRECTIVE
t0006@sreflect,5.0,2024-03-07,Your running time has spiked impressively; what inspired this increase and how do you feel after those runs?,"I shifted from labs and so now I have to walk extra everyday!. I am enjoying the physical exercise and walking briskly to the lab. 
I feel fresh and energetic after the walks and get more work done!",physical_fitness,-0.1644,-0.0956,0.0688,yes,5,1,no,REFLECTIVE
t0006@sreflect,6.0,2024-03-08,Exploring new spots around town can be thrilling! Can you share how discovering these places influences your daily routine?,Walking around and finding new places keeps me excited. So I have something to look forward to everyday! I enjoy finding new things and exploring.,physical_fitness,-0.1288,-0.174,-0.0452,no,5,1,no,REFLECTIVE
t0006@sreflect,6.0,2024-03-10,"Noticing more calls coming in than out lately. Reflect on who's reaching out to you more, and how do those interactions boost your week?",The only people who call me are my parents and closest friends. During weekends I talk to them more as I have more time in hand. it helps me catch up with their lives and them with mine. and I enjoy the conversations every week.,social_interaction,-0.3857,-0.2329,0.1528,yes,16,3,no,REFLECTIVE
t0006@sreflect,6.0,2024-03-11,Your walks are on the upswing! What's one new thing you noticed on your route that made your day a little brighter?,I saw 2 puppies playing around at the green today! they were so cute and fun to watch. I loved watching them enjoying their time!,physical_fitness,-0.0956,-0.1631,-0.0674,no,5,1,no,REFLECTIVE
t0006@sreflect,6.0,2024-03-12,You've been a homebody lately. Share how creating a cozy nook at home has helped you unwind or stay focused.,It's my personal space and I feel content staying in my room.,sleep,0.2926,0.9693,0.6767,yes,1,1,no,REFLECTIVE
t0006@sreflect,6.0,2024-03-13,"Your in-person chats have grown, yet the places you visit have shrunk. How might diversifying your hangout spots enhance your already buzzing social life?",diversifying my hangout spots will help me meet new people. Lately I've not had enough time to go to different places and meet new people. so I tend to hang out with my existing groups of friends and comfortable places.,social_interaction,-0.2448,-0.3073,-0.0625,no,16,3,no,REDIRECTIVE
t0007@sreflect,1.0,2024-02-02,You've been less chatty on calls and texts lately. Got any new methods for staying connected with friends without screen time?,"I've been doing alright, not so good on biology but I love working in the lab on cell biology.",social_interaction,0.0,0.0,0.0,no,16,0,yes,REFLECTIVE
t0007@sreflect,1.0,2024-02-03,You've been less chatty on calls and texts lately. Got any new methods for staying connected with friends without screen time?,"Yes, I tall to my floor mates in person and my classmates.",social_interaction,-0.4394,0.4395,0.8789,yes,16,10,no,REFLECTIVE
t0007@sreflect,1.0,2024-02-05,Your screen time and app usage are on the rise. What are ways you could unplug for brief moments throughout the day?,"Take a walk, talk to friends face to face. Go for a stroll to ID birds.",digital_habits,-0.6604,-0.3392,0.3212,no,5,0,no,REDIRECTIVE
t0007@sreflect,1.0,2024-02-06,"Noticing you're calling more but meeting less, who made you feel most connected this week during a call?",My mom. she knows all of my secrets and everything that I do. she always has my back.,social_interaction,0.2993,0.157,-0.1422,no,16,5,no,REFLECTIVE
t0007@sreflect,1.0,2024-02-07,"Your gym visits are up. What's new in your workout routine, and how does it impact your day?","I am a part of Sugarplum and Club Taekwondo, so I go to the gym almost every day.",physical_fitness,0.3791,0.026,-0.3531,no,5,1,no,REFLECTIVE
t0007@sreflect,1.0,2024-02-08,"Your screen time's steady, but unlocks and social app use soared. How might moderating these affect tomorrow's focus?","If I unlock my phone less and reduce social media app use, I will be able to get more work done and improve my focus",digital_habits,-0.3307,0.0574,0.3881,no,5,0,no,REDIRECTIVE
t0007@sreflect,2.0,2024-02-09,Your digital habits look quite dynamic! Could refining your screen time routine help with sleep or enhance tomorrow's productivity?,"Definitely, using my phone less would allow me to sleep more and be more productive academically",sleep,-0.5345,-0.6097,-0.0752,no,1,0,no,REDIRECTIVE
t0007@sreflect,2.0,2024-02-13,Your recent screen time is up; in which ways might this impact your sleep and day tomorrow?,It will make me sleep less as I take more time to look at my phone instead of sleeping,sleep,-0.6097,-0.9355,-0.3258,no,1,0,no,REDIRECTIVE
t0007@sreflect,2.0,2024-02-14,Noticing more time at the gym lately; how is that refining your well-being?,It's a bit detrimental to my wellbeing because the number of social time that Sugarplum has stresses me out. It’s very much a sport of peer pressure.,physical_fitness,0.532,0.2143,-0.3177,no,5,0,no,REFLECTIVE
t0007@sreflect,2.0,2024-02-15,"Your decreased screen time suggests a shift; what’s your new favorite offline activity, and how does it feel?",I just haven't time to use my phone and it feels exhausting,digital_habits,0.02,-0.2603,-0.2803,yes,5,3,no,REFLECTIVE
t0007@sreflect,3.0,2024-02-16,You've been unlocking your phone more. How does this align with your goal for better digital habits?,"It does not align, in fact jt opposes my goals for digital habits",digital_habits,0.037,-0.4479,-0.4849,yes,5,4,no,REFLECTIVE
t0007@sreflect,3.0,2024-02-18,"With phone calls down and social app use up, reflect on how this shift impacts your social connections.",I learned that it's better to talk to friends and socialize than study hahaha,social_interaction,0.2024,0.1624,-0.04,no,16,5,no,REFLECTIVE
t0007@sreflect,3.0,2024-02-19,"Noticing more in-person chats recently, what new connections or conversations sparked joy for you?",Uhh conversations about hating myself and my friends hating themselves were pretty funny,social_interaction,0.03,0.1152,0.0853,yes,16,5,no,REFLECTIVE
t0007@sreflect,3.0,2024-02-21,"With fewer calls and less screen time, how might offline activities or passion projects enhance your daily routine?",They really add to the anger issues that I've been having hahaha,digital_habits,-0.3448,-0.1575,0.1874,no,5,0,no,REDIRECTIVE
t0007@sreflect,3.0,2024-02-22,Your gym time is up lately. What new workout or activity there has caught your attention? How does it align with your fitness goals?,we played king on the hill in tkd and it was fun to kick and get kicked,physical_fitness,0.2926,0.2797,-0.0129,no,5,2,no,REFLECTIVE
t0007@sreflect,4.0,2024-02-23,You've been finding unique ways to travel more distances lately. How has this movement around campus impacted your daily well-being?,Uhh negatively because it is annoying to have to all over the place and have my mom always watching,physical_fitness,0.5599,0.2838,-0.276,no,5,0,no,REFLECTIVE
t0007@sreflect,4.0,2024-02-25,Your screen time and social apps use have lessened recently. Got any cool hobbies that have taken their place? How do they fulfill you?,Taekwondo and a dance group have taken up a lot of time and let me exercise,digital_habits,-0.1575,-0.3302,-0.1727,yes,5,2,no,REFLECTIVE
t0007@sreflect,4.0,2024-02-26,"Noticing your in-person interactions have dwindled, how might you reconnect with friends this coming week?",I might go to late night foco and/or stargazing with a friend or a few,social_interaction,0.3345,0.1429,-0.1917,no,16,3,no,REDIRECTIVE
t0007@sreflect,4.0,2024-02-27,Your recent gym time boost is impressive! How is this new routine helping with your daily energy and focus?,It drains my energy a lot faster because I am tired more often,physical_fitness,0.2838,0.3604,0.0766,yes,5,3,no,REFLECTIVE
t0007@sreflect,4.0,2024-02-28,You've been unlocking your phone more frequently. Reflect on how this might be influencing your sleep and social interactions.,It boosts social interactions but damages my sleep schedule,digital_habits,-0.3597,-0.1542,0.2055,no,5,1,no,REFLECTIVE
t0007@sreflect,4.0,2024-02-29,Your frequent social app usage contrasts with fewer phone calls. What shifts in social interactions have you noticed?,I have enriched my social interactions by talking and texting other people,digital_habits,-0.3302,-0.1952,0.1349,no,5,1,no,REFLECTIVE
t0007@sreflect,5.0,2024-03-01,"Considering your decreased phone calls, what are some other ways you’ve stayed connected with friends and family recently?",I've connected to fellow dartmouth students with face to face talking,social_interaction,0.1429,0.4606,0.3177,yes,16,8,no,REFLECTIVE
t0007@sreflect,5.0,2024-03-03,Reflect on your increased use of social apps last week. How can this habit be aligned more with your goals?,It goes against my goals because I would like to cut down on electronics usage,digital_habits,-0.1542,-0.3615,-0.2073,yes,5,3,no,REDIRECTIVE
t0007@sreflect,5.0,2024-03-07,Noticed your texts are up while calls are down. How has texting helped you stay connected?,it has helped me feel connected to my friends and family in a text based format,digital_habits,-0.3615,-0.1939,0.1677,no,5,1,no,REFLECTIVE
t0007@sreflect,6.0,2024-03-11,Your travels seem to have skyrocketed recently! Consider how this change in scenery has influenced your creativity or perspective.,It has mademe very very tired. I feel exhausted and feel no change in creativity,physical_fitness,0.0482,-0.2693,-0.3175,no,5,0,no,REFLECTIVE
t0007@sreflect,6.0,2024-03-12,You've been catching more z's lately. What changes have you noticed during your day because of this?,I have gotten a lot more sleep and supposedly feel more energized than before,digital_habits,-0.2221,-0.8194,-0.5973,yes,5,3,no,REFLECTIVE
t0007@sreflect,6.0,2024-03-13,You're dialing down on screen time and phone unlocks lately. How is this affecting your focus or stress levels?,"I am on my spring break at home in Florida right now.   Instead of scrolling on my phone while procrastinating on my homework, I enjoyed outdoor birdwatching and shopping with my mom.  My stress level is down since I am on my break.",digital_habits,-0.1819,-0.9095,-0.7277,yes,5,3,no,REFLECTIVE
t0008@sreflect,1.0,2024-02-06,Noticing some more quiet evenings? Consider creating a wind-down routine centered around a restful night's sleep. What might that look like for you?,"This would be an evening with a long warm bath, a satisfying meal, watching something on Netflix, and then going to bed with a book to read, reducing the lights before going to bed. 10 minutes of meditation would also be helpful. I took meditation classes last term, and it helped to improve my sleep quality. So, after all of that, maybe a cup of tea to close the day. It's hard to create a routine like this when on the next day we have work and deadlines and classes.",sleep,0.0,0.0,0.0,no,1,0,yes,REDIRECTIVE
t0008@sreflect,1.0,2024-02-07,"With your evenings getting quieter, how might a little stretching or yoga add to your wind-down routine tonight?","Yoga would be really good. I've been practicing some yoga at least once a week, and it has been helping me to stretch and calm down (although not enough for the whole week). I might try tonight to relax since I have an upcoming exam.",physical_fitness,-0.2634,-0.0404,0.223,yes,5,3,no,REDIRECTIVE
t0008@sreflect,1.0,2024-02-08,You've been exploring more places recently! How does being in different environments impact your energy and mood?,"It makes me feel good. It is always nice to see some friends in new and different places, away from the work environment. It kind of recharges me a little bit with more energy for the rest of the week.",physical_fitness,-0.2197,-0.1101,0.1096,yes,5,3,no,REFLECTIVE
t0008@sreflect,1.0,2024-02-09,"Noticing fewer calls and texts lately, have in-person chats or solitary activities filled the gap? How's that shaping your day?","It's being a little bit weird. I think I miss some of the phone calls and messages I used to get. These past few days have been feeling weird and lonely, although I have people around most of the time, even people close to me.",digital_habits,0.3123,0.5909,0.2786,no,5,0,no,REFLECTIVE
t0008@sreflect,1.0,2024-02-11,"With your fitness routine shifting recently, what's one new activity you'd like to try next week?","I would like to go on a long walk or to go hiking. I need to do exercises with cardio activities, in order to reduce my cholesterol. Maybe some dance or team sport could be a good idea.",physical_fitness,-0.0404,-0.0611,-0.0208,no,5,1,no,REDIRECTIVE
t0008@sreflect,1.0,2024-02-12,"Noticing fewer texts and calls lately, who's someone you could reach out to for a quick catch-up this week?","I don't quite know. Possibly someone from my family. I don't know if I have friends willing to talk over the phone, but certainly, I can try to reach out through texts. But also, the days have been busy, so I didn't have a lot of time to talk.",social_interaction,-0.0356,-0.1885,-0.1529,no,16,3,no,REDIRECTIVE
t0008@sreflect,2.0,2024-02-13,You've been favoring texts over talks. How might more voice chats benefit your week ahead?,This would be good. Texting is exhausting and removes me from the present moment.,social_interaction,-0.0218,-0.1802,-0.1584,no,16,3,no,REDIRECTIVE
t0008@sreflect,2.0,2024-02-14,Switching to physical books or writing might refresh your nightly routine. Could this assist your sleep and how?,I think so. Reading books makes me feel more calm to sleep.,sleep,0.3176,-0.0082,-0.3258,no,1,0,no,REDIRECTIVE
t0008@sreflect,2.0,2024-02-15,Switching to physical books or writing might refresh your nightly routine. Could this assist your sleep and how?,"Yes, I think so. With this, I would be less distracted by social media, and would be less exposed to the brightness of screens. Also, I appreciate the smell of paper, so it is also something that relaxes me.",sleep,0.042,-0.0834,-0.1253,no,1,0,no,REDIRECTIVE
t0008@sreflect,2.0,2024-02-16,Noticed you're texting more but spending less time on calls. Share how this shift is affecting your daily connection with others.,"I've been connecting with people in real life, and having actual conversations. This feels better, but I also miss a little bit o some calls.",digital_habits,-0.043,0.4708,0.5138,no,5,0,no,REFLECTIVE
t0008@sreflect,2.0,2024-02-19,"Your in-person chats are up, even as digital pings slide; how's this shift shaping your day-to-day?","Many situations that require conversations have been popping up recently (the online conversations still exist, however). It is good to be able to talk to people around and find solutions to problems, instead of just wonder by myself about things.",social_interaction,-0.1387,-0.2632,-0.1244,no,16,2,no,REFLECTIVE
t0008@sreflect,3.0,2024-02-22,"With your running time up, how did that boost your energy or mood today?","I had an active day today, with lots of moving around, but not with a specific running involved. But in general I can say that moving makes my day better.",physical_fitness,-0.1798,0.1654,0.3452,yes,5,3,no,REFLECTIVE
t0008@sreflect,3.0,2024-02-23,"Reflecting on your lower phone call interactions, what do you appreciate most about your current in-person connections?","It's more diverse and broad. I've been talking to different people, going to different places, enjoying different activities. But at same time I miss some phone call interactions, for instance, talking more with my family. It's hard to do both at same time - live in the present and talk with those that are way.",social_interaction,-0.2632,0.0822,0.3453,yes,16,4,no,REFLECTIVE
t0008@sreflect,3.0,2024-02-25,You've been hitting the pavement hard with runs lately! In what ways has that time outdoors rejuvenated you?,"Time walking around or exercising has been a refresher for my mind. Sun is starting to show up again, so I feel motivated to go out and enjoy nature, as well as appreciate the campus. I've also trying to exercise more, so going out feels like a motivation to walk.",physical_fitness,0.2179,0.0227,-0.1952,no,5,0,no,REFLECTIVE
t0008@sreflect,3.0,2024-02-26,"Noticing your in-person conversations are up while digital chats are down, what's positively sparked this shift for socializing offline?","This week has been different from my usual weeks, because I'm in the final step in my current lab, so I don't have to work too much and can enjoy better social events around campus, like lunches with my house, events around etc. Also, I've been having meetings with some mentees, so this also counts as more conversations happening, even though those are on Zoom",social_interaction,-0.0004,-0.1585,-0.1581,no,16,3,no,REFLECTIVE
t0008@sreflect,4.0,2024-02-28,Your walks have picked up recently. How has integrating more strolls into your routine bolstered your day-to-day experience?,"I've been trying to exercise more, as well as enjoy more the weather outside with some walks. This has definitely improved my mood. I feel more energized. I guess this is due to the spring of fools, and I really hope the winter don't come back haha",physical_fitness,-0.0094,-0.0412,-0.0318,no,5,1,no,REFLECTIVE
t0008@sreflect,4.0,2024-02-29,"Noticing incoming calls have dropped, but visits to new places are up. What inspired this shift and how does it resonate with your pursuit of balance?","At this point, I'm trying to shift my habits a little bit, to have a more balanced and healthy life. The need to change and stop feeling tired all the time is what motivated me to make these changes. I'm trying to allow my body and mind to rest way before exhaustion.",social_interaction,0.0122,0.3396,0.3273,yes,16,6,no,REFLECTIVE
t0008@sreflect,4.0,2024-03-01,"Your recent trend shows shifting sleep patterns, how can tweaking your nighttime routine improve your rest quality?","Trying to establish a night routine and sleeping schedule has been really good for me. This past week I've been trying to go to bed before 22h30, so I can wake up early not feeling tired, and then have time to exercise or have a longer breakfast. This definitely added some calm to my routine.",sleep,0.0169,0.0921,0.0752,yes,1,1,no,REDIRECTIVE
t0008@sreflect,4.0,2024-03-03,You're connecting more face-to-face and visiting new spots lately. Describe one memorable conversation or place from last week and its impact on you.,"One memorable place was the basketball place on the gym. I am usually terrible at sports, but this time I scored many points, and was tied with my friend who was playing with me and is a great player. One reason for this possibly is the fact that I started to exercise more, so maybe my shootings is stronger. This made me feel good. Along with that, I had a conversation about competition, and this made be realize that although competitive, when it comes to academics I'm more collaborative.",social_interaction,0.1751,-0.1295,-0.3046,no,16,4,no,REFLECTIVE
t0008@sreflect,4.0,2024-03-04,Notice your phone chats are less frequent. Could this reflect more engaging in-person interactions? How might this shape your social habits?,"Yes, I've been engaging in more in-person conversations and tried to set the phone aside in more situations. Being more available to in person life has been good. I'm trying to connect more with people at this moment, to find the friends that I didn't at the beginning of the therm.",digital_habits,0.131,-0.1984,-0.3294,yes,5,3,no,REFLECTIVE
t0008@sreflect,5.0,2024-03-05,"Despite the uptick in academic term stress, it seems you've found a balance that works for you. Reflect on how prioritizing sleep has benefited your day-to-day life recently.","I understood that I'm the priority in this academic scenario. I know that going to bed late will make me feel tired and stressed. Therefore, I've been trying to prioritize my sleep, and this reflected in me finding more energy during the day to do other activities, like exercising. Also, keeping this sleeping routine has inspired me to create other routines, like reading and skincare.",sleep,0.0921,0.0921,0.0,no,1,0,no,REFLECTIVE
t0008@sreflect,5.0,2024-03-07,Your walks seem refreshing! How do they enhance your focus or relaxation?,"My walkings recently have been mostly because I have to go from one place to another, but I've been trying to enjoy the spring coming and the better temperatures. Walking is like a break in the middle of the routine, so it helps me to be more relaxed and more aware of the present moment.",physical_fitness,-0.1352,-0.0609,0.0743,yes,5,1,no,REFLECTIVE
t0008@sreflect,5.0,2024-03-08,You're connecting more in person and less digitally. Could minimizing screen time be nurturing your real-world relationships?,"Yes, I think so. I have been trying to be more present and more aware, so I have been prioritizing interactions in person, but always checking with my online friends and family as well. With the spring coming, I think is a nice moment to make connections and enjoy the outside.",digital_habits,-0.1984,0.2404,0.4388,no,5,1,no,REDIRECTIVE
t0008@sreflect,5.0,2024-03-10,Your running has picked up! How is this shift impacting your sleep and day-to-day energy levels?,"I've been trying to exercise more, and walking or using equipment to run has been one of the things I've been enjoying doing. When I do this in the morning, I start my day energized and happier, but I also end my day more tired. For this past week, I didn't do a lot of exercising, mostly because I was focused on working and studying for my final exam. However, I plan to come back to do these activities in the upcoming days, and this will definitely make me feel better.",sleep,0.042,0.0169,-0.0251,no,1,0,no,REFLECTIVE
t0008@sreflect,5.0,2024-03-11,Seems like your digital interactions are on the rise. How might balancing screen time help your sleep tonight?,"My goal is not to use screens that much during the night because I feel it has the potential to make me feel anxious. However, I also need to get some stuff done and talk to people I didn't have the chance to talk to during the day, so the screens end up being a nice break from work. Today I decided to read for one hour before sleeping, and I hope it helps me to sleep and feel better.",digital_habits,0.1291,0.129,-0.0001,yes,5,3,no,REDIRECTIVE
t0008@sreflect,6.0,2024-03-12,"Noticing you've been dialing back your digital screen time, what are you doing with the newfound gaps in your day?","I've been mostly working during the day, but also filling the beginning of the evening with exercises. Both those things have been having a good impact on my life since I enjoy the work I've been doing. I've been also finding some pleasure in doing exercises, which helps me to keep doing it.",digital_habits,0.2404,0.2183,-0.0221,yes,5,2,no,REFLECTIVE
t0008@sreflect,6.0,2024-03-13,"Your call and text activity suggest more solo time lately. How could a short, daily call to a friend boost your mood?","I have been focusing mostly on myself and my work these days, so not a lot of contact. Still, I have been trying to call my family, but they don't pick my calls every time. I think a phone call in the middle of the day would be nice to break a little bit of the routine and connect with someone who is outside of this bubble.",social_interaction,0.0271,-0.3712,-0.3983,no,16,0,no,REDIRECTIVE
t0009@sreflect,1.0,2024-02-06,Your digital engagement is on a downtrend. What will be your strategy to enhance your digital habits tomorrow?,"I mostly just sat in one place and worked on my paper. I was pretty motivated today and didn't have much stress writing. However, I do think I should had walk around more.",digital_habits,0.0,0.0,0.0,no,5,0,yes,REDIRECTIVE
t0009@sreflect,1.0,2024-02-07,Notice you've amped up your face-to-face chats lately. How are these increased personal interactions influencing your daily routine?,"today was a lot like yesterday, I mainly worked at home all day. I was able to take a break at 5 pm. Hopefully, tomorrow, when I get to campus, I'll get up on my feet more often and socialize.",social_interaction,-0.3198,0.1605,0.4803,yes,16,6,no,REFLECTIVE
t0009@sreflect,1.0,2024-02-08,Your recent trends show a shift towards texting. How is this change impacting your daily life and connections?,"I didn't end up going to campus today so it was a little like yesterday. however, today I was able to socialize for a while over zoom. I talked to a new graduate student.",digital_habits,-0.6453,-0.0788,0.5665,no,5,0,no,REFLECTIVE
t0009@sreflect,1.0,2024-02-09,You're exploring more places lately! How do exploring new locations influence your mood?,"I was able to go to campus today and I felt pretty good. there is still alot I need to get done this weekend so I'm a little stressed, but I can get through it",physical_fitness,-0.2578,-0.2854,-0.0275,no,5,0,no,REFLECTIVE
t0009@sreflect,1.0,2024-02-11,Your recent digital detour is noticeable. Reflect on how less screen time has opened up new opportunities this past week.,I went to a lunar new year party last night and surprised myself with how fast it went. I usually want to leave right away. I also was able to do my taxes.,digital_habits,-0.0811,0.1296,0.2106,no,5,2,no,REFLECTIVE
t0009@sreflect,1.0,2024-02-12,You're making strides in phone unlocks even with decreased screen use. How will you balance this trend for a focused tomorrow?,I will be traveling tomorrow so that is how I will reduce the screentime,digital_habits,-0.0788,0.2019,0.2806,no,5,1,no,REDIRECTIVE
t0009@sreflect,2.0,2024-02-13,You're making strides in phone unlocks even with decreased screen use. How will you balance this trend for a focused tomorrow?,well tomorrow i am manning a telescope until Feb 25th. I'm away observing so that replaces phone screen with computer screen.,digital_habits,0.0776,0.2798,0.2022,no,5,2,no,REDIRECTIVE
t0009@sreflect,2.0,2024-02-14,Your recent phone call trends suggest a surge in connections. How did a specific call positively impact your week?,i talked to my mom and it gave me courage to drive to boston.,digital_habits,0.3198,0.6061,0.2863,no,5,3,no,REFLECTIVE
t0009@sreflect,2.0,2024-02-15,"Noticing an uptick in screen time with a hefty skew towards entertainment apps, can you pinpoint a show or game that particularly drew you in? How did it feel?",well I have been working a lot since I'm observing all night.,digital_habits,0.1296,0.5132,0.3836,no,5,2,no,REFLECTIVE
t0009@sreflect,2.0,2024-02-16,Your in-person conversations are on the rise — any recent heartwarming or noteworthy chats?,"yes, chatting with my coworker is fun while we're manning the telescope.",social_interaction,0.2755,-0.354,-0.6295,no,16,0,no,REFLECTIVE
t0009@sreflect,2.0,2024-02-18,"Your screen time is up, what new app made your week better, and how might it help with future tasks?",I was mostly on my phone because I'm using my laptop to work. I didn't really install anything new. just apps for shopping.,digital_habits,0.6061,-0.4475,-1.0536,yes,5,5,no,REFLECTIVE
t0009@sreflect,2.0,2024-02-19,You've dialed back on apps lately; how's that shaped your focus or relaxation?,"I find myself more focused on work, which is a good thing because I want to graduate next year.",digital_habits,0.5132,-0.2743,-0.7875,yes,5,4,no,REFLECTIVE
t0009@sreflect,3.0,2024-02-20,Noticing fewer calls and texts but stable in-person chats; has this changed how you connect with friends?,Yeah. It's hard to switch over schedule for telescope observing,social_interaction,-0.354,-0.1662,0.1878,yes,16,4,no,REFLECTIVE
